"Igfn1-75988547","Mef2c-667"
"Dusp1-324212","Syt6-1032"
"Pwp2-112645814","Uchl1-1088"
"Atp5o-1158","Bcl6-75651139"
"Cst3-69120555","E2f4-67855419"
"Lims2-75145999","Yme1l1-356849"
"Usp11-355883","Ywhaq-1130"
"Homer3-356087","Yme1l1-356849"
"Cdc25b-74274686","LOC434300-75988611"
"Atp5o-1158","ORF63-1247"
"Gm4887-73931418","Ldlr-1766"
"Prdx1-836","Rcan1-362"
"Abhd8-2012","Rbm18-356083"
"Filip1-73635796","Stub1-79912552"
"Il17rd-112647967","Nol4-76115737"
"Crhr1-297","Rgs2-73635771"
"Bzw1-324215","Tcf4-1044"
"Kcng1-77340480","Tubb4a-1081"
"Igfbpl1-1974","Il11ra1-2315"
"Ldb3-2369","Slc41a3-73512484"
"Prkch-73520406","Srsf9-75043152"
"Alpk2-74988275","Myc-112194721"
"Fabp3-418","Slc26a10-74273116"
"E4f1-1199","Rarres1-75084131"
"Ier2-71836849","Lzic-276064"
"Emb-73930836","Laptm4b-75651225"
"Filip1l-74363347","Lrmp-74274684"
"Mon1b-74958566","Zbtb20-79568020"
"Gm261-73636032","Tmem33-356284"
"Fezf2-75651163","Rgs2-73635771"
"Acan-77869840","Col9a2-74750022"
"Rmnd1-77371805","Satb1-79488931"
"Cep72-74988742","Syt6-1032"
"Cd24a-79591541","Tubb4a-1081"
"LOC381355-71924491","Pdyn-71717084"
"Arx-118","Grik1-527"
"Fezf2-75651163","Tnrc6a-314"
"Bzw1-324215","Lrmp-74274684"
"0610010F05Rik-74957923","Dbh-79907893"
"Chst10-74657931","Usp21-2711"
"Kcna1-73994714","Ngb-79556712"
"Cacng8-72108823","Slc6a3-978"
"Cpe-1691","Tfap2a-2661"
"Chrnb2-2097","Crlf2-1882"
"Ostf1-73907505","Slc4a10-1922"
"Dok2-2155","Vav3-76085746"
"Lmo2-2383","Tfap2a-2661"
"Meis3-74047845","Tmod1-75988526"
"Col19a1-74658066","Iscu-74819565"
"Cdh2-79556666","Dbh-79907893"
"Cxcl12-308","Ywhaq-1130"
"Cadps-72119581","Zbtb20-79568020"
"Ldhd-74425554","Susd2-75146000"
"Gpr151-74724649","Rps5-77868800"
"Cdc25b-74274686","Pfkl-795"
"Fkbp10-2220","Slc35f1-75084145"
"Crym-73592526","Mlx-227539"
"3830406C13Rik-77414919","Lzic-276064"
"Gabre-75749417","Magix-74581446"
"Kcng1-77340480","Myo10-74743255"
"Cdk5-244","Filip1l-74363347"
"Cdkn1a-80343383","Dcn-329"
"Fez2-74272477","Grik1-527"
"Map4k3-657","Nmb-71836874"
"Slco1a5-67850945","Vstm2b-77869820"
"5330421K23Rik*-75043138","Meis3-74047845"
"Adipor1-61210","Hnrpdl-571"
"Gpr151-74724649","Tmem33-356284"
"Acvrl1-79488929","LOC381355-71924491"
"Gsto1-74511807","Lypd6b-73635774"
"Mon1b-74958566","Slc10a3-74047876"
"Dbi-71836880","Rgs2-73635771"
"B4galt6-2055","Cdk5-244"
"C1qc-77340474","Cxcl12-308"
"Fbxl5-422","Zfp790-356855"
"Klhl1-73520995","Nmb-71836874"
"Syt10-79556609","Znrf1-74581382"
"Crh-292","Gtf2i-2277"
"Ifnar1-588","Sorcs3-75988635"
"Sept7-961","Zic1-72103843"
"Lhx8-2379","Tcf4-1044"
"Filip1l-74363347","Mmaa-1772"
"Sun1-74425548","Vav3-76085746"
"Pdlim2-2476","Pip4k2c-799"
"1700037H04Rik-324211","Prdx1-836"
"Cep72-74988742","Hes7-2289"
"Csk-75651192","Lmo2-2383"
"Cysltr1-75651227","Zfand3-77414923"
"Pnrc1-2501","Shroom1-1315"
"1700086L19Rik-1643","Dbi-71836880"
"Dusp1-324212","Sigmar1-112196265"
"Homer3-356087","Zbtb20-79568020"
"BC031353-77371767","Pdxk-788"
"Epha4-2187","Psmc2-356850"
"Creb3l1-112197858","Pdyn-71717084"
"Kcng1-77340480","Krt73-74750042"
"Fam46a-75042237","Gabre-75749417"
"Nrgn-736","Pth1r-112202195"
"Enpep-73769289","Prdx1-836"
"Bzw1-324215","Coro1c-75651191"
"Gpr151-74724649","Slc6a11-72472802"
"Cd44-79556644","Otc-74581369"
"Slc12a2-74882926","Synpo-75080644"
"Cd1d1-219","Fbxw2-355882"
"Dnajc12-73718054","Slco1a5-67850945"
"Eps8l2-74658244","Garnl3-73994668"
"Camk4-75038464","Rgag1-75041526"
"Ccnd2-205","Sun1-74425548"
"Hmgcr-75079789","Itga3-598"
"Cadps-72119581","Ptgds-851"
"Hectd2-2002","Tfap2a-2661"
"Fkbp10-2220","Gcg-75749416"
"Lmo2-2383","Traip-77887842"
"Pth1r-112202195","Wnt5a-79556660"
"Esr1-79591677","Ifnar1-588"
"Adcy4-73512495","Synpr-1862"
"E2f4-67855419","Tnfrsf21-71836885"
"Gnal-71670716","Lmod2-73636019"
"Lrmp-74274684","Rgag1-75041526"
"Col9a2-74750022","Ldhd-74425554"
"Dhrs3-112650553","Nrbp2-75774686"
"Acvrl1-79488929","Mmgt1-77414585"
"Mgat2-74988614","Pam16-2391"
"Egr4-74800827","Nfix-2423"
