"Drd4-112650336","Trim3-73732147"
"H2-T23-75749388","Mafb-73771240"
"Lipm-74272035","Pacsin1-74047926"
"P2rx2-75551473","Trps1-75043140"
"Krt73-74750042","Syap1-1858"
"Stk24-73635773","Tmem218-1960"
"Ddit4l-71836878","Dnahc9-72472774"
"Col25a1-71924301","Kcne3-77371863"
"Slc27a1-75651228","Vwa3a-72472789"
"Slc12a2-74882926","Terf2ip-112196711"
"Ptn-77866882","Trps1-75043140"
"Bcl6-75651139","Shh-1418"
"Nudt21-2115","Palmd-74581442"
"C030034I22Rik-72472751","Itpk1-71923998"
"Dnahc9-72472774","Pitpnc1-75144644"
"Ifngr2-1460","Tcf19-2659"
"Gdnf-112647321","Lyst-73994715"
"Il13ra1-74819256","Magix-74581446"
"Dnahc12-74988273","Slc6a20b-77371783"
"Robo2-75080998","Ube2k-73817935"
"Pitpnc1-75144644","Rasal1-75774111"
"Fgfr3-448","Gpr116-73907496"
"Grm3-539","Trim16-73931416"
"Kank2-112644736","Per2-793"
"B3galt2-71064081","Ogfod1-74047922"
"Ephb3-1492","Ywhab-2737"
"Hapln4-71717078","Ndufv2-77371763"
"Ephb1-72077478","Hrh3-73636034"
"Sgk3-75650862","Six3os1-75041431"
"Eps8l2-74658244","Panx2-74581443"
"1110037F02Rik-74988462","Chst14-74657927"
"Hebp1-74988456","Vps35-77869144"
"Gmps-1361","Ube2t-276069"
"Gmps-1361","Otx2-112194935"
"Gabrp-75888749","Mtpn-2411"
"Hdc-71016663","Pdcl-324213"
"Cyhr1-77414565","Pitx1-199398"
"Npvf-74882808","Rad51-293471"
"Chst11-73931625","Itga11-74882626"
"Galr2-80517343","Itgav-74658082"
"Xk-71670735","Zfp365-73929873"
"Decr1-74425550","Lhcgr-72283794"
"Gpr83-72338696","Tnnt1-77280576"
"Chrng-75551466","Stk24-73635773"
"Cmtm3-2099","Pam16-2391"
"Otx2-112194935","Pmm1-67936010"
"Dkkl1-70634395","Gpr161-70562045"
"Npffr2-70562070","Tacr1-79591721"
"Rap2b-75934918","Tmem206-75774106"
"Msrb2-76135795","Tmem206-75774106"
"Fbxw2-355882","Rftn1-71920515"
"Galr2-80517343","Ube3c-71670707"
"Pcsk1-72008494","Rps6ka3-71670727"
"Dusp5-73931633","Rnf152-75043151"
"Pam16-2391","Ppp2r5d-74047908"
"Grik4-75551478","Map2k4-276073"
"Pdcl-324213","Sypl-75233089"
"Ube2k-73817935","Xlr3a-75650861"
"Sbno1-930","Susd2-75146000"
"Ntf5-1393","Slc26a10-74273116"
"Mafb-73771240","Mx2-1778"
"Hcrtr1-77868713","Syap1-1858"
"Slitrk1-74882937","Ssx2ip-73817985"
"Cd6-112205643","Dlx2-1482"
"Efha1-1946","Palmd-74581442"
"Ar-2039","Sap30l-73907495"
"Cyc1-357103","Sbk1-71836807"
"Srsf9-75043152","Wnt1-112644522"
"Cd6-112205643","Nup93-75774679"
"Mylk3-73992942","Shh-1418"
"Pgf-77869838","Zfp365-73929873"
"Dach1-74047769","Igsf21-74357578"
"Igsf21-74357578","Mef2c-79567505"
"9030425E11Rik-71924353","H2-T23-75749388"
"Gm5607-72109337","Taldo1-74988562"
"Kcnh3-74641310","Pcdhb18-74581445"
"Pfkl-795","Rrp1-713"
"Camk1d-73992927","Sbno1-930"
"Gabpb1-121098","Rasal1-75774111"
"D0H4S114-72472773","Gng2-67936006"
"Hcrtr1-77868713","Trps1-75043140"
"LOC436099-73512350","Tacr3-1297"
"Arhgap39-73992939","Dlx2-1482"
"2310042E22Rik-74357582","Neurl1a-73769327"
"Mgat5-73931638","Svil-77332748"
"Igsf5-79488939","Pitx2-79556607"
"Nr2f2-112646890","Zfp358-2743"
"Napb-75651234","Scd1-71836746"
"Gdpd2-74047789","Grin2a-75081000"
"Igfbp4-71924311","Tcn2-71924389"
"Gm5083-73930833","Igfbp4-71924311"
"Camk2a-79490122","Slc29a4-77414149"
"Efha1-1946","Tspan11-70436731"
"Oxt-112648396","Zfp358-2743"
"Gabpb1-121098","Ngb-79556712"
"Abcd2-70616004","Nefh-74512048"
"C1qa-77371775","Chrnb2-2097"
"Fezf2-75651163","Nprl2-2701"
"9430020K01Rik-75988537","Ywhab-2737"
"5730469M10Rik-70436739","Gad2-79591669"
"Csf2rb2-73992937","Tmem204-73769320"
"Calcr-75080999","Cyhr1-77414565"
"Calcb-72338699","Map4k3-657"
"Bcl11a-71836837","Trem2-67870433"
"Fdps-76085745","Sema4g-71587856"
"Gm5607-72109337","Grin3b-77869800"
"Il17rd-74958537","Nmb-71836874"
"Manba-72007562","Rpl32-75934920"
"Adamts19-73635973","Jdp2-73930842"
"Cxcl14-74272041","E130012A19Rik-74363349"
"Gabpb1-121098","Lims2-75145999"
"Pcsk1-72008494","Pttg1-293036"
"Slc6a7-71016653","Tfam-67936016"
"Elmo1-70743907","Hhip-71358556"
"Grm3-539","Mfsd2a-77280315"
"Gmps-1361","Oxt-112648396"
"Alk-77371829","Zscan22-247974"
"Pde1a-782","Pitx2-79556607"
"Slc4a10-1922","Tnfaip8-75038412"
"Fbxo44-77340498","Large-71670483"
"Pou6f2-71249067","Trps1-75043140"
"Cxcl12-79907936","Ndufb8-74743256"
"Arhgdia-75774677","Sypl-75233089"
"Slc39a6-73930852","Tmem246-75774671"
"Ctnnd1-74641320","Il11ra1-2315"
"Il11ra1-2315","Pth1r-112202195"
"Arsa-75749415","Hbb-b1-67936011"
"A830018L16Rik-73818758","Zfp618-71670712"
"Baalc-73520964","Itga5-74882636"
"Lrrc3-112649047","Nin-76115736"
"Grin3b-77869800","Ppp2r3d-77414925"
"Itgav-74658082","Scg2-934"
"Manea-74882656","Ntf5-1393"
"Mdfi-112648831","Tmem218-1960"
"Pcdhac1-73512189","Terf2ip-112196711"
"Ppp2r3d-77414925","Sun1-74425548"
"Asb8-77414921","Rora-79488937"
"Hgf-558","Ly6g6e-77280582"
"Csrp2bp-276275","Neurl1a-73769327"
"Grm8-73771227","Syn3-73930808"
"Mylk3-73992942","Slc18a2-79591703"
"Gabra5-72077453","Sbno1-930"
"1200016E24Rik-1591","Med23-112649261"
"Rapgef6-75041528","Spsb4-75773701"
"Cgnl1-72008123","Fmo1-72008121"
"Jdp2-73930842","Myo10-74743255"
"B3gnt2-75988600","Ttpal-74641323"
"Cd6-112205643","Mtfp1-75774673"
"Pnrc2-2491","Tacr1-79591721"
"Cap1-323396","Dpy19l3-71836886"
"Phospho1-71670685","Rasl11a-75988636"
"Adrb1-77340494","Ddit4l-71836878"
"Gdnf-112647321","Tnnt1-77280576"
"Ankrd34c-72472747","Hnrnph2-112649906"
"E130012A19Rik-74363349","St6galnac5-73787946"
"Palm3-74958547","Scg2-934"
"Clic5-77874610","Myb-1512"
"Alg14-75081004","Madcam1-2389"
"2010111I01Rik-71717630","Plk2-74743272"
"C1qa-77371775","Npffr2-70562070"
"Arid5a-75042267","Tacr1-79591721"
"Crhr1-297","Lef1-77866900"
"C030034I22Rik-72472751","Ptgds-851"
"Btd-2069","Ppp2r3d-77414925"
"Gabpb1-121098","Tspan32-72129242"
"Adamts1-69","P2rx7-75551477"
"Trem2-67870433","Xk-71670735"
"Gm5607-72109337","Ngef-72129292"
"Gng13-73615561","Serpina3k-72081514"
"Adamts19-73635973","Svil-77332748"
"Msrb2-76135795","Sox14-73636036"
"Fdps-76085745","Ptgds-79567709"
"Adcy2-73","P2rx2-75551473"
"Arsa-75749415","Pde1a-782"
"Ier2-71836849","Trps1-75043140"
"Epha1-74640882","Mybpc1-71920513"
"Ctsb-67779877","Jup-74425547"
"Klhl36-77371861","Vangl1-71670709"
"Rasl11a-75988636","Sgcz-74749942"
"Bcl7b-1601","Ctnnd1-74641320"
"Cstf2-2131","Kcne3-77371863"
"Ly6g6e-77280582","Rpl11-276067"
"Golga7b-76097699","Ube2t-276069"
"Ier2-71836849","Igsf5-592"
"Efcab6-74819465","Grsf1-73994670"
"Hpcal4-73520985","Letmd1-1635"
"Caml-79568047","Nkx2-1-74988460"
"Dtnbp1-75651202","Ltk-75988666"
"Lyst-73994715","Susd4-75774678"
"Pknox2-76135815","Ppp2r5d-74047908"
"Pacrg-74743258","Tinf2-77414587"
"Cdk5r1-247","Gabre-75749417"
"Dlx2-1482","Eef1g-74819238"
"Six1-1834","Trps1-75043140"
"LOC381076-72338724","Ywhab-2737"
"Clta-74819690","Optn-2452"
"Yme1l1-356849","Zfp358-2743"
"Eif1ax-74988539","Psmd13-74882718"
"Hnrnph2-112649906","Rasgrp1-76115742"
"Il17rd-74958537","Slc38a1-75988508"
"Pam16-2391","Syt13-1020"
"LOC433740-77340490","Myb-1512"
"Adssl1-72104185","Sox14-73636036"
"Rrad-75080239","Sall3-74363352"
"Lrmp-74274684","Tacr3-1297"
"Chrnb2-2097","LOC436099-73512350"
"Aldh5a1-77925007","Hbb-b1-67936011"
"Palmd-74581442","Pitx2-79556607"
"Dtnbp1-75651202","Jup-74425547"
"Gabpb1-121098","Pitpnc1-75144644"
"Lass4-176962","Ngfr-79591691"
"Bok-71064032","Gng13-73615561"
"LOC433088-71924504","Sipa1l2-72118960"
"Gls-500","Sigmar1-112196265"
