Gene1,Gene2
"Gabra4-71924402","Tmem29-75080656"
"Ppapdc1a-74881927","Ppp2r3d-77414925"
"Adora2a-72109410","Gpnmb-74581367"
"Apc-74881517","Fam124a-72472790"
"Kpnb1-77340472","Spint2-74047774"
"Mtap1a-76115734","Tspyl4-67936212"
"Cdh9-72472764","Hbb-b2-77371773"
"Cks2-80517357","Inhbb-73636087"
"LOC434300-75988611","Rassf4-74988636"
"Adora2a-72109410","Tex261-74047919"
"Elmod1-71924269","Thbs2-73929578"
"Apc-74881517","Sik3-74881867"
"Fryl-73512207","Slc43a2-74425544"
"Ipo4-74658174","Ndufa10-74658173"
"Cdh9-72472764","Cks2-80517357"
"Thnsl1-74988343","Tmeff1-77395095"
"Fndc3b-74988759","Rgnef-74272892"
"Slc43a2-74425544","Slx1b-74819688"
"Fam46a-73520967","Sostdc1-77874602"
"Mdk-1227","Syt4-2651"
"Sox10-79556652","Tspyl4-67936212"
"Rgnef-74272892","Spint2-74047774"
"Kpnb1-77340472","Mmp14-74658084"
"Rgnef-74272892","Sostdc1-77874602"
"Clta-74819690","P2rx7-75551477"
"Aldh1a1-72103809","LOC545810-71924492"
"Ano6-77887878","Hbb-b2-77371773"
"Kpnb1-77340472","Ly6h-71924388"
"Cadm2-73635999","Inhbb-73636087"
"Kcnj9-72119580","Tex261-74047919"
"Slx1b-74819688","Thbs2-73929578"
"LOC235953-73931419","Vti1a-74641238"
"Gabra4-71924402","Mdk-1227"
"Cdh9-72472764","Fndc3b-74988759"
"LOC545810-71924492","Sox10-79556652"
"Gpr146-77371845","Sh3d19-74425516"
"Aldh1a1-72103809","Slc35f2-74819683"
"Ntf5-1393","Terf2ip-112196711"
"Cyr61-80343407","Gabra4-71924402"
"Col24a1-73636093","Spint2-74047774"
"Clip4-75774680","Pitrm1-74273117"
"Cyr61-80343407","LOC545810-71924492"
"Ano6-77887878","Fndc3b-74988759"
"Pak6-75084501","Pip4k2c-799"
"Gpnmb-74581367","Pck2-71836804"
"AW046396-72340236","Greb1-71924412"
"2010111I01Rik-71717630","Decr1-74425550"
"Tbl3-77413694","Vti1a-74641238"
"Alg14-75081004","Insrr-71670480"
"Ap2s1-71836889","Scube3-74988656"
"Inhbb-73636087","Pafah1b1-2460"
"Ddit4l-71836878","Kcnh8-70562113"
"Mmgt1-77414585","Nol4-76115737"
