gene1,gene2
"Flrt3-73931404","Negr1-692"
"Usp48-149","Ywhaz-1133"
"Ntrk1-71670679","Tnfaip8-75038412"
"Ankrd34c-72472747","Tomm20-74819230"
"Efna1-1347","Ywhae-2739"
"Fgfr4-1581","Stard7-74800953"
"Eif2d-323588","Stat5a-77413690"
"Frmpd1-73520978","Tmem126a-77414913"
"Nrsn1-71358557","Strn-73521824"
"Lat-2367","Ptprv-73817436"
"LOC545854-73732153","Pogk-71064277"
"D830030K20Rik-73930807","Prl2c2-75077152"
"Rph3a-71587899","Tcf25-293034"
"Gls-500","Lrfn2-75041454"
"Pdcl-324213","Zfand3-77414923"
"Wnt7a-1936","Ywhaz-1133"
"Ckap2-74363353","Sun2-74658032"
"Hist1h2bc-560","Olig2-2448"
"Grin1-1585","Mocs1-323590"
"Lmo4-2385","Rnh1-74800925"
"Chl1-74272476","Tmem126a-77414913"
"Acyp2-73930820","Rbm18-356083"
"Leprotl1-2373","Lrp5-653"
"Hbb-b1-67936011","Isyna1-75145997"
"Cited1-74641326","Emb-73930836"
"Mef2d-67810540","Tsc22d1-1051"
"Calcrl-74988670","Mfsd2a-77280315"
"Arpc1a-77280335","Efr3a-75749772"
"Cdh13-77869863","Rasal2-75147758"
"Iqcj-74272918","Rnf144b-71836839"
"Sall3-74363352","Tmem206-75774106"
"Ldlrap1-2010","Trpc4-1305"
"Pmm1-67936010","Rasal2-75147758"
"Eif2ak3-2181","Il17rb-2317"
"Insig1-75041453","Prune2-57"
"Gtf3c2-7","Nprl2-2701"
"Edc3-77414911","Fzd1-2239"
"Agap3-2089","Wnt7a-1936"
"Pbx3-76085744","Pogk-71064277"
"Rab3ip-71717136","Usp48-149"
"Smarca2-76085747","Sod1-79587726"
"Dner-1699","Pkig-2483"
"Agtr1a-2021","Gnpnat1-2267"
"Pvr-119504","Slc12a3-2573"
"Ednrb-74750017","Gca-74641159"
"Cer1-2091","Ctnnb1-79591729"
"Ascl2-1156","Irak1-2323"
"Cep78-322963","Ywhaq-1130"
"1110037F02Rik-74988462","Pogk-71064277"
"Plekha5-70743870","Rplp0-74047927"
"E2f6-2173","Fgfr4-1581"
"Dlg4-72109445","Tagln3-75988633"
"Pogk-71064277","Tnfaip8-75038412"
"Edc3-77414911","Slc35b2-2613"
"Pogk-71064277","Rfx1-77371867"
"Bsg-166","Fem1a-2212"
"Epn3-74357584","Ralyl-72129250"
"Pcdhac1-73512189","Rasal2-75147758"
"Chst1-71836872","Stoml2-74581379"
"Gprasp1-70743888","Snx33-74882525"
"Got2-76115728","Purb-75080632"
"Stx1a-2645","Ywhaq-1130"
"Nfix-77413698","Pogk-71064277"
"Crispld1-72077456","Tnfaip8-75038412"
"Epn3-74357584","Pdgfa-1516"
"Olfml2b-1980","Rfx1-895"
"Mageh1-17","Pbx3-76085744"
"Rasal2-75147758","Reps2-76135799"
"Papola-1251","Prdx3-70743842"
"Cmtm4-2101","Ptprv-73817436"
"Lysmd2-74988572","Pla2g7-74047841"
"Rasal2-75147758","Thsd7a-71924155"
"Epn3-74357584","Gckr-74274683"
"Pax9-2466","Stard7-74800953"
"Clip2-2137","Per1-791"
"Hoxb13-2299","Slc29a1-1838"
"Sbf1-276264","Slc36a2-1069"
"Top1-74957897","Usp16-1886"
"Nacc2-74641266","Prdx3-70743842"
"Fem1a-2212","Nrsn1-71358557"
"Fem1a-2212","Top1-74957897"
"Atp5s-323589","Chl1-74272476"
"Kank2-112644736","Lamb1-71670482"
"Arpc1a-77280335","Ctnnb1-79591729"
"Cdh13-77869863","Tdrd3-77887882"
"Acot7-145","Agap3-2089"
"Asb8-276276","C130018E23Rik*-75144623"
"Psap-846","Spns2-73512500"
"Heatr7a-73992940","Trim28-1071"
"Stat5a-77413690","Tdrd3-77887882"
"Ccdc137-1978","Spns2-73512500"
"Galr2-80517343","Rab3c-73521805"
"Mrap2-71924480","Prdx3-70743842"
"Slc12a3-2573","Slc18a1-2583"
"Mocs1-323590","Slc19a2-2585"
"Kctd16-73636009","Npr1-71670678"
"Leprotl1-2373","Ywhae-2739"
"Map2k6-73817433","Ralyl-72129250"
"Cep78-322963","Irx2-1752"
"Dusp6-75650864","Rnf13-72109423"
"Bcan-154","Fem1a-2212"
"Disp2-74511801","Tmem11-75043144"
"Rab3ip-71717136","Ywhaz-1133"
"Slc29a1-1838","Trpc4-1305"
"Ephb1-72077478","Npr1-71670678"
"Ccdc137-1978","Kifc2-614"
"Glra1-72108824","Rplp0-74047927"
"1500002O20Rik-1954","Traf5-2693"
"Ngfrap1-1786","Vsx2-1687"
"Papola-1251","Pdgfa-1516"
"Bsg-166","Wnt7a-1936"
"Gmfb-1726","Ppm1g-2499"
"Itpr3-74047776","Mum1l1-74357565"
"App-79591705","Ctnnb1-79591729"
"Sdhb-74658140","Tagln3-75988633"
"Cep78-322963","Slc18a1-2583"
"Pdk3-2474","Tgfb3-2667"
"Arhgap25-72128789","Ralyl-72129250"
"Ap2s1-71836889","C130021I20Rik-74511997"
"Eps8l2-74658244","Npr1-71670678"
"Mef2d-67810540","Rbm18-356083"
"Bag1-75043147","Ptprs-74882787"
"Arpc1a-77280335","Ubr3-74988721"
"Ntrk1-71670679","Zfp790-356855"
"Neto1-72129248","Nsdhl-72007933"
"Pax9-2466","Slc19a2-2585"
"Ckb-70927826","Laptm4b-75651225"
"Mxra7-77332080","Zfand3-77414923"
"Ntf5-1393","Pogk-71064277"
"Bcan-154","Gckr-74274683"
"Ankrd34c-72472747","Tdrd3-77887882"
"Mocs1-323590","Thpo-2671"
"Papola-1251","Uqcrb-323595"
"Ap1b1-77869778","P2rx2-75551473"
"Ascl2-1156","Pelo-789"
"Atp6v0c-74881559","Kcnab3-73817925"
"Ccdc137-1978","Gmps-1361"
"Fnta-2226","Syt12-1291"
"Marcksl1-670","Taok1-74819235"
"Nol4-76115737","Tomm20-74819230"
"Gckr-74274683","Map2k6-73817433"
"Acot7-145","Ralyl-72129250"
"Efna1-1347","Leprotl1-2373"
"Cdh13-77869863","Tomm20-74819230"
"Agpat3-85","Sbf1-276264"
"Agpat3-85","Cct2-356082"
"Nfix-77413698","Tomm20-74819230"
"C2cd2-1986","Otp-2454"
"Mmgt1-77414585","Pdzrn3-71836787"
"Fbxo9-74800954","Mfn2-74882657"
"Adamts16-276267","Sbf1-276264"
"Strn-73521824","Wnt7a-1936"
"Frrs1-2557","Myadm-74658086"
"1500032L24Rik-75651168","Rasal2-75147758"
"Dnajc16-870","Gba-1611"
"Arid5a-75042267","Itpk1-71923998"
"Pmm1-67936010","Zfp790-356855"
"Epn3-74357584","Uqcrb-323595"
"Gnat1-2265","Il17rb-2317"
"Purb-75080632","Tmem130-73930834"
"Fam135b-74581399","Rnf144b-71836839"
"Fryl-70431430","Tmem106b-71920509"
"Igsf11-72103820","Tdrd3-77887882"
"Usp48-149","Wnt7a-1936"
"Cd1d1-219","Gtf3c2-7"
"Iqsec1-77332673","Tnfrsf21-71836885"
"Fzd1-2239","Ncor1-686"
"Ctnnb1-79591729","Slc9a6-76115744"
"Bsg-166","Pxn-1814"
"Chrm3-2095","Pxn-1814"
"Cnot7-321203","Mif-2407"
"Eps8l2-74658244","Stoml2-74581379"
"Prdx3-70743842","Usp48-149"
"Dok2-2155","Otp-2454"
"Hist1h2bc-560","Syt12-1291"
"Resp18-71015810","Tnfrsf21-71836885"
"P2rx3-75888751","Tdrd3-77887882"
"Agap3-2089","Prdx3-70743842"
"Sacm1l-74882832","Strada-74819330"
"Cspg5-73931385","Wnt3-2731"
"LOC380720-73931422","Tdrd3-77887882"
"Fryl-70431430","Rplp0-74047927"
"Plxnb2-1263","Ralyl-72129250"
"Fbxo9-74800954","Prdx5-76115740"
"Nrg1-74743257","Rnf13-72109423"
"Ndrg2-79568051","Zfp790-356855"
"Slc18a1-2583","Ywhae-2739"
"Pdzrn3-71836787","Sacm1l-74882832"
"Dkk1-2149","Negr1-692"
"Bsg-166","Hpse-77340468"
"C2cd2-1986","Slc16a4-2579"
"Lancl1-74881159","Prdx5-76115740"
"Ero1lb-72340145","Pogk-71064277"
"Agpat3-85","Slc36a2-1069"
"Arhgef2-2043","Trap1-1966"
"Bcan-154","Top1-74957897"
"LOC380720-73931422","Zfp790-356855"
"Papola-1251","Strn-73521824"
"1110037F02Rik-74988462","Rasal2-75147758"
"Hrh3-73636034","Zfp790-356855"
"Nacc2-74641266","Uqcrb-323595"
"Hsp90b1-75042251","Hunk-2307"
"Acot7-145","Bsg-166"
"Igsf11-72103820","Slc39a3-2619"
"Palm3-74958547","Tomm20-74819230"
"Pelo-789","Wnt8a-1115"
"1110037F02Rik-74988462","Pdzrn3-71836787"
"Cct2-356082","Cnih2-2109"
"Ralyl-72129250","Usp16-1886"
"Ncam2-682","Prdx4-74819229"
"Npr1-71670678","P2rx3-75888751"
"Il17rb-2317","Spns2-73512500"
"Cspg5-73931385","Mef2d-67810540"
"Heatr7a-73992940","Slc16a4-2579"
"Cblb-74988451","Tomm20-74819230"
"Pnrc1-2501","Sfpi1-227535"
"B4galt3-357099","Slc36a2-1069"
"Olig2-2448","Syt3-1026"
"Galr2-80517343","Tomm20-74819230"
"Vps35-77869144","Zfp790-356855"
"Mapre1-2401","Nprl2-2701"
"Galr2-80517343","Igsf11-72103820"
"Mapre2-659","Spns2-73512500"
"Bsg-166","Strn-73521824"
"Gata2-100","Gmps-1361"
"Rasal2-75147758","Terf2ip-112196711"
"Acot13-75042252","Ralyl-72129250"
"Pdzrn3-71836787","Reps2-76135799"
"B630019K06Rik-74881160","Zfp790-356855"
"Pdzrn3-71836787","Thsd7a-71924155"
"Ntrk1-71670679","Stoml2-74581379"
"Kifc2-614","Pvr-119504"
"Hoxb13-2299","Trpc4-1305"
"Mansc1-53","Psmd4-2503"
"Palm3-74958547","Rasal2-75147758"
"Stat5a-77413690","Zfp790-356855"
"Nefm-73817434","Socs5-74274685"
"B3gnt1-77332102","Rtn4-70805906"
"Axin1-2053","Lmo4-2385"
"Mxra7-77332080","Tmem64-77414589"
"Rasal2-75147758","Slc39a3-2619"
"Gmps-1361","Syt3-1026"
"Pogk-71064277","Stat5a-77413690"
"1500032L24Rik-75651168","Yme1l1-356849"
"Ece2-77332686","Iqsec1-77332673"
"Pkp2-73997149","Tomm20-74819230"
"Ptprs-74882787","Tagln3-75988633"
"Sema4g-71587856","Tdrd3-77887882"
"Smarca2-1972","Tdrd3-77887882"
"Galr2-80517343","Rasal2-75147758"
"Pbx3-76085744","Slc39a3-2619"
"Aph1a-1990","Leprotl1-2373"
"Chrm3-2095","Hpse-77340468"
"Npr1-71670678","Terf2ip-112196711"
"Cct2-356082","Slc29a1-1838"
"Pak3-71836887","Tcf25-293034"
"Chst1-71836872","Eif2d-323588"
"Prdx3-70743842","Ralyl-72129250"
"Gnao1-506","Ngfrap1-1786"
"Ccdc137-1978","Efna1-1347"
"Map2k6-73817433","Ywhaz-1133"
"Arid5a-75042267","C130018E23Rik*-75144623"
"Dkk1-2149","Slc25a5-2591"
"Cdk14-71670684","Tdrd3-77887882"
"Map2k6-73817433","Papola-1251"
"Lrp5-653","Psap-846"
"Fem1a-2212","Usp16-1886"
"Pgbd5-73931642","Wif1-74511885"
"Sult1a1-75774114","Tdrd3-77887882"
"Olig2-2448","Rfx1-895"
"Gnat1-2265","Slc12a3-2573"
"Pdzrn3-71836787","Zfp790-356855"
"Npr1-71670678","Pla2g16-112650769"
"2310042E22Rik-74357582","Bai3-71247597"
"Ntrk1-71670679","Yme1l1-356849"
"Ldb3-77869087","Nek2-75042263"
"Copg2-74819259","Pogk-71064277"
"B630019K06Rik-74881160","Rasal2-75147758"
"Nxph1-75084479","Phyhip-544328"
"Gckr-74274683","Prdx3-70743842"
"Cdh13-77869863","Pogk-71064277"
"Dcn-329","Fgfr1-440"
"Ncor1-686","Slc35b2-2613"
"Heatr7a-73992940","Mef2d-67810540"
"Aox1-74425525","Ddt-75081209"
"Dcn-329","Ltn1-2747"
