Gene1,Gene2
"Lpl-649","Pnrc1-2501",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Pth1r-112202195","Rec8-77278975",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Mylk3-73992942","Tmem86b-72472763",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Grik3-75749418","Lrmp-74274684",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Fat4-74363356","Tbl3-77413694",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"158303","Rfx4-71249068",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Ampd3-77371807","Vti1a-74641238",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Tubb4a-1081","Wnt7b-1113",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Bsdc1-74988722","Fam124a-72472790",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"1700086L19Rik-1643","Abcd1-356086",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Mtap-79568030","Nr2f2-112646890",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Hmgcr-75079789","Syap1-1858",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Filip1l-74363347","Satb1-927",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Lrmp-74274684","Ybx2-75080250",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Lhx2-79568024","Satb1-927",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Casc1-75038484","Iyd-71015205",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Gata2-100","Slc6a11-72472802",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"LOC235953-73931419","Zfp189-79490078",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Adora2a-72109410","Sccpdh-73635772",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Arf1-199390","Ngb-79556712",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Gnrh1-75080152","Pafah1b1-2460",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Decr1-74425550","Ltk-75988666",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Gpr123-71924056","Hpcal1-74581395",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Casc1-75038484","Hcrtr1-77868713",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Gchfr-74511806","Syt7-1035",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Elmo3-73718049","Fam69c-73636086",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Bsdc1-74988722","Fat4-74363356",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Adamts8-73925719","Rdh5-75042255",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Acpl2-80343348","Synj2bp-77414884",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Inpp1-67870434","Shh-1418",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Ctnnb1-79591729","Gbas-74819681",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Sccpdh-73635772","Tmem29-75080656",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Csrp2bp-276275","Rasa4-74425552",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Fzd9-73907498","Sik3-74881867",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Gng2-77414160","Sox14-73636036",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"BC032203-77867708","Shb-71670695",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Fam124a-72472790","LOC235953-73931419",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Hes1-556","Tcf7l1-1424",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Dlx1-348","Epha4-2187",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Hgf-77867710","Ltk-75988666",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Synj2bp-77414884","Tmem29-75080656",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Chrna1-75551465","Rbmx-75043154",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Ppp4r2-74511850","Psrc1-71015388",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Decr1-74425550","Serinc1-77413696",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Apc-74881517","Gpr123-71924056",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Ar-2039","Htr2b-79556708",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Cd47-357100","Dlx2-1482",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Cadps-72119581","Clic6-1984",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Nr4a2-732","Pdlim2-2476",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Filip1l-74363347","Myo10-74743255",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
