Gene1,Gene2
"Ntf5-1393","Slc22a23-72128754",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Bpgm-77414641","Ybx2-75080250",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Gpr151-74724649","Rgs2-73635771",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Gnal-71670716","Traip-77887842",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"LOC545352-74988758","Pitx1-199398",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Nkx2-1-74988460","Srsf9-75043152",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Arhgdia-75774677","Nfix-2423",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Syt6-1032","Wnt8b-1890",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Neurod2-75651126","Slc25a25-544516",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Tcf19-2659","Wif1-1111",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Mmgt1-77414585","Tnfaip8-75038412",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Nkx2-1-74988460","Pitx2-79556607",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Fbln7-73929875","Otc-74581369",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Filip1l-74363347","Nrgn-69153759",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Gls-500","Gnao1-506",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Gnrh1-75080152","Itgb5-71920512",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"E130012A19Rik-74363349","Grik4-75551478",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Rasgrp1-76115742","Tnfaip8-75038412",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"AW046396-72340236","Pitx2-79556607",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Gnrh1-75080152","Mafb-73771240",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Mmgt1-77414585","Rasgrp1-76115742",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Nol4-76115737","Tnfaip8-75038412",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Eif2ak3-2181","Psap-846",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Bcl6-75651139","Trem2-67870433",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"A130014H13Rik-75041574","Pafah1b1-2460",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Ccdc85a-75081006","Gpr151-74724649",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"AW046396-72340236","Greb1-71924412",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"A130014H13Rik-75041574","Nrtn-741",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Dpysl5-73635770","LOC434300-75988611",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Gnrh1-75080152","Ipo4-74658174",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Mdk-1227","Syt4-2651",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Hmga1-2295","Hoxd9-1623",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Nol4-76115737","Ntf5-1393",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Cep72-74988742","Ppp1r7-832",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Nrtn-741","Pitrm1-74273117",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Greb1-71924412","Srsf9-75043152",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Gnat1-2265","Rfx1-895",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Gpr151-74724649","Grik3-75749418",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Efna1-1347","Eif2ak3-2181",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Madcam1-2389","Map3k7-2393",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Greb1-71924412","Nkx2-1-74988460",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Vsx2-1687","Wbscr17-1934",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Susd2-75146000","Ybx2-75080250",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Ccdc37-74581372","Mdk-1227",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Mylk-74819252","Ppp1r7-832",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Polr1e-75774108","Synpr-1862",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Med8-112196048","Slc12a2-74882926",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"B3gnt2-75988600","Sox14-73636036",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Gli3-1615","Thpo-2671",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Fhdc1-73925717","Grik3-75749418",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Efna1-1347","Rfx1-895",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Rasgrp1-76115742","Yme1l1-356849",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Gnrh1-75080152","Nrtn-741",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Creb3l1-112197858","Hbb-b1-67936011",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Mmgt1-77414585","Slc22a23-72128754",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Filip1l-74363347","Gdf1-75081205",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"C130018E23Rik*-75144623","Gca-74641159",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Ipo4-74658174","Pitrm1-74273117",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Pitrm1-74273117","Scube3-74988656",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Arf1-199390","Bcl6-75651139",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Slc12a2-74882926","Slc22a23-72128754",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Prpf6-67850946","Rprm-75651169",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Fhdc1-73925717","Gpr151-74724649",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Itgb5-71920512","Nrtn-741",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"N4bp2-74363354","Rgs2-73635771",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Gnao1-506","Wbscr17-1934",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Grik3-75749418","LOC434300-75988611",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Lhcgr-77869818","Nr1h3-112205214",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Itgb5-71920512","Mafb-73771240",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Mafb-73771240","Pitrm1-74273117",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Ifnar1-588","Nin-76115736",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"B4galt6-2055","Klc2-618",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Col16a1-74273122","Kitl-616",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Myo10-74743255","Susd2-75146000",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Rasgrp1-76115742","Zfp790-356855",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Cd44-224","Meis3-74047845",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Grin2b-74988710","Lims2-75145999",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Filip1l-74363347","Gnal-71670716",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Stx1a-2645","Tsc22d1-1051",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Arf1-199390","Trem2-67870433",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Rbm18-356083","Trim28-1071",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Bpgm-77414641","Lims2-75145999",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"LOC434300-75988611","N4bp2-74363354",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Mapre2-659","Syt3-1026",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"C130018E23Rik*-75144623","Svil-77332748",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"C130018E23Rik*-75144623","Sox14-73636036",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Greb1-71924412","Sigmar1-112196265",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"AW046396-72340236","Srsf9-75043152",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Ccdc85a-75081006","Rgs2-73635771",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Efna1-1347","Syt3-1026",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Ifnar1-588","Pitx2-79556607",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Sox14-73636036","Svil-77332748",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Ipo4-74658174","Itgb5-71920512",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Med8-112196048","Mmgt1-77414585",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Pafah1b1-2460","Pitrm1-74273117",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Cds2-250","Cnih2-2109",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Mafb-73771240","Nrtn-741",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Dpysl5-73635770","Rgs2-73635771",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Bcan-154","Papola-1251",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Psap-846","Syt3-1026",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Chat-252","Rassf4-74988636",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Gnat1-2265","Psap-846",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Rbm18-356083","Slc16a4-2579",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Itgb5-71920512","Sart3-74819691",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Dpysl5-73635770","Gpr151-74724649",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Gm261-73636032","Traip-77887842",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Arf1-199390","Gpr89-67881554",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Tsc22d1-1051","Ubxn11-322",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Gdf1-75081205","Gm261-73636032",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Svil-77332748","Ttll6-74363338",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"C130018E23Rik*-75144623","Ttll6-74363338",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Pmaip1-823","Syt12-1291",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Med8-112196048","Ntf5-1393",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Efna1-1347","Psap-846",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Cep72-74988742","Mylk-74819252",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Ipo4-74658174","Nrtn-741",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Ccdc37-74581372","Syt4-2651",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Grik3-75749418","Rgs2-73635771",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Kcnab2-1754","Rgs3-1822",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Bcan-154","Usp48-149",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Fbln7-73929875","Gldc-77887886",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Atp5h-77371785","Mylk-74819252",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Slc12a2-74882926","Tnfaip8-75038412",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Agpat3-85","Kcnc4-1756",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Nol4-76115737","Slc12a2-74882926",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Rora-2537","Tomm70a-320",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Myc-112194721","Mylk3-73992942",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Lims2-75145999","Ybx2-75080250",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Col9a2-74750022","Meis3-74047845",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Otp-2454","Stx1a-2645",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Med8-112196048","Zfp790-356855",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"P2rx3-75888751","Terf2ip-112196711",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Nin-76115736","Pitx2-79556607",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Hmg20a-357093","Nrgn-69153759",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Gdf1-75081205","Hmg20a-357093",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Plg-2485","Prrg2-276063",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"A130014H13Rik-75041574","Itgb5-71920512",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Efna1-1347","Gnat1-2265",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Gm10413-73929885","Kitl-616",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Nkx2-1-74988460","Sigmar1-112196265",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Creb3l1-112197858","Vav3-76085746",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"B3gnt2-75988600","Gca-74641159",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Ntf5-1393","Slc12a2-74882926",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Greb1-71924412","Ifnar1-588",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Gnrh1-75080152","Scube3-74988656",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Pmaip1-823","Syt3-1026",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"En2-74988733","Gpr139-79490116",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Galr2-80517343","Med8-112196048",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Gli3-1615","Slc19a2-2585",[1098]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
