Gene1,Gene2
"Fam46a-75042237","Mgat2-74988614",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Gpr37-2271","Ptprd-855",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Neurl1a-73769327","Susd4-75774678",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Bag1-75043147","Epha10-73930823",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Pdgfd-1910","Rcsd1-75934525",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Anxa1-70813897","Sh2b3-80517009",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Dlx2-1482","LOC434368-74819253",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Pdgfd-1910","Trem2-67870433",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Cyp4v3-74882196","Tmem109-74988461",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Inpp4b-72080054","Tfam-67936016",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"LOC434368-74819253","Vtn-67752116",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Kitl-616","Ptprd-855",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Gpr89-67881554","Mtfp1-75774673",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Foxi1-2232","Ppp2r2b-1655",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Arhgap39-73992939","Lct-73931621",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Thbs4-112651416","Vldlr-121089",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Bcl6-75651139","LOC434236-73615572",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Mmgt1-77414585","Tnfaip8-75038412",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Slc7a6-293662","Tfam-67936016",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Pot1b-73925715","Stk24-73635773",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Acpl2-80343348","Csrp2bp-276275",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Grid1-74724739","Mylk3-73992942",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"LOC434368-74819253","Slc7a6-293662",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
