Gene1,Gene2
"2610019F03Rik-74724511","Wwox-72077451",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Fam89b-1898","Scnn1g-1918",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Arf1-199390","Trem2-67870433",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Zfp280c-1669","Znrf1-74581382",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Eif4a3-2143","Gss-74273307",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"2610019F03Rik-74724511","Ano2-71587834",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Ccdc37-74581372","Il11ra1-2315",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Efna3-381","Sytl5-73930809",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Fam89b-1898","Guk1-2279",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Gss-74273307","Rasal2-71670719",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Aqp9-2037","Tmem218-1960",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Cd44-79556644","Ppp1r7-832",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Slc7a6-293662","Tfam-67936016",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Myc-112194721","Pip4k2c-799",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Gpr151-74724649","Susd2-75146000",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Pcbp3-768","Ppap2a-830",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Galns-70612726","Tspo-79556668",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Aldh1l1-1724","Kitl-616",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"LOC545352-74988758","Per1-791",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Eif4a3-2143","Grb10-522",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Pcp4-772","Zfp280c-1669",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Clec11a-112195815","Nin-76115736",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Six1-1834","Slc4a10-1922",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Map3k7-2393","Tspo-79556668",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Tomm70a-320","Tulp4-2699",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"2010300C02Rik-70743898","Gjb5-2259",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Dpysl5-73635770","Tyr-79591699",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Cd33-75043153","Pot1b-73925715",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Pcsk2-72080025","Rgs3-1822",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Arhgef2-2043","Vim-79907904",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Cdc27-293466","Olfm1-760",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Fgf12-424","Usp48-149",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Col27a1-74272916","Syt4-2651",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Gdf1-75081205","Pcp2-77413702",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Prpf6-67850946","Traip-77887842",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Fbln2-321208","Zfp61-75749409",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Kctd8-71670722","Rbm19-71016585",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Col16a1-74273122","Syt4-2651",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Lypd6b-73635774","Rgs4-1569",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Grp-1363","Irx2-1752",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Htr2b-79556708","Syt10-79556609",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Htr1b-584","Slc26a7-2595",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Gng3-1209","Lypd6b-73635774",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Gca-74641159","Meis2-1231",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Heg1-74958616","Nudc-2442",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Pafah1b1-2460","Pwp2-112645814",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Dnajb12-2153","Grb10-522",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Foxi1-2232","Ptpn18-2509",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Nrgn-69153759","Pam16-2391",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"B3gnt2-75988600","Rgs4-1569",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Dbp-1193","Serpinb8-293668",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Chst2-266","Ptprm-864",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Mrpl12-70743841","Ndrg3-690",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Nxf7-75988557","Phox2b-2480",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Nrip1-739","Sema7a-955",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Grb7-112204995","Il11ra1-2315",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Cds2-250","Zbtb20-1143",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Actr2-67","Fam195a-1996",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Itgb5-71920512","Lphn2-1768",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Bdnf-79587720","Synpr-1862",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Oprd1-112646675","Rgs14-2529",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
