Gene1,Gene2
"Oprd1-112646675","Slc4a10-1922",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Mylk-74819252","Ppp1r7-832",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"LOC545352-74988758","Ppp2r3d-77414925",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Mylk-74819252","Tnip2-74425540",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Acan-77869840","Rassf4-74988636",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Col9a2-74750022","Nkd1-74586666",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Mmgt1-77414585","Slc12a2-74882926",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"AW046396-72340236","Pitx2-79556607",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Dbi-71836880","Slc22a3-73931644",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Dlx6as1-2000","Sun1-74425548",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Rgs2-73635771","Slco1a5-67850945",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Greb1-71924412","Srsf9-75043152",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Ero1lb-72340145","Zfand3-77414923",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Pip4k2c-799","Tmem33-356284",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Fhdc1-73925717","Rgs2-73635771",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"AI593442-71250312","Pus7-79556638",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Pus7-79556638","Vdr-112204135",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Ccdc85a-75081006","Chat-252",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Col18a1-287","Thpo-2671",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Bcl6-75651139","Csf2rb2-73992937",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"N4bp2-74363354","Rassf4-74988636",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"B4galt6-2055","Klc2-618",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Grin2b-74988710","Ybx2-75080250",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Rapgef4-74749895","Zfp932-75774665",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"0610010F05Rik-74957923","Col9a2-74750022",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Cdh13-77869863","P2rx3-75888751",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Gdf1-75081205","Slc22a3-73931644",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Dhrs3-112650553","Filip1-73635796",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Myo10-74743255","Ybx2-75080250",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Atp5h-77371785","Tnip2-74425540",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Hbb-b1-67936011","Nin-76115736",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Nol4-76115737","Tnfaip8-75038412",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Grin2b-74988710","Susd2-75146000",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Kcng1-77340480","Myo10-74743255",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Ero1lb-72340145","P2rx3-75888751",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
