Gene1,Gene2
"Slc35f1-75084145","Traip-77887842"
"Pth1r-112202195","Satb1-79488931"
"Epha4-2187","Filip1l-74363347"
"N4bp2-74363354","Rarres1-75084131"
"Iyd-71015205","Zic1-72103843"
"Dbi-71836880","Mmaa-1772"
"Iyd-71015205","Mri1-75773703"
"Dnajc16-870","Ergic1-1952"
"Enpp2-77413700","Gsto1-74511807"
"Cdkn1a-80343383","Tmem215-73636150"
"Lhx2-79568024","Rassf4-74988636"
"Fam196a-75042244","Ppp2r3d-77414925"
"Crym-73592526","Pnrc1-2501"
"LOC433740-77340490","Tnip2-74425540"
"Lypd6b-73635774","Th-1056"
"Arhgdia-75774677","Sept7-961"
"Hook3-1197","Junb-2335"
"0610010F05Rik-74957923","Col9a2-74750022"
"Susd2-75146000","Zim2-76135811"
"Leprel4-2547","Vps35-355884"
"Epha4-2187","Gdf1-75081205"
"Chrm4-79591641","Chst10-74657931"
"Chat-252","Slco1a5-67850945"
"Hook3-1197","Pcp2-77413702"
"Ntf5-1393","Ostf1-73907505"
"Chat-252","Kcng1-77340480"
"C2cd2-1986","Setbp1-1532"
"Ssr2-121097","Thbs4-112651416"
"Gm261-73636032","Iyd-71015205"
"Gdf1-75081205","Pcnt-1255"
"Arhgap17-1413","Clic6-1984"
"Apln-67850953","Tspo-79556668"
"Cdk5-244","Cdkn1a-80343383"
"Ccnd2-205","Cep72-74988742"
"Fam46a-75042237","Gm261-73636032"
"3830406C13Rik-77414919","Itga3-598"
"Epha4-2187","Zbtb20-79568020"
"Nr5a1-734","Yme1l1-356849"
"Aqp4-108","Stc1-2639"
"Ero1lb-72340145","Krt73-74750042"
"Atp5h-77371785","Tnip2-74425540"
"Lhx2-79568024","Myo10-74743255"
"Fam195a-1996","Thpo-2671"
"Dok2-2155","Lhx2-79568024"
"Chst10-74657931","Six3os1-75041431"
"Gm261-73636032","Prdx1-836"
"Dok2-2155","N4bp2-74363354"
"Grin2b-74988710","Rgs2-73635771"
"Mylk3-73992942","Zfp280c-1669"
"Bpgm-77414641","Zim2-76135811"
"C2cd2-1986","Ier2-71836849"
"AI593442-71250312","Vdr-112204135"
"Coro1c-75651191","Gpr151-74724649"
"Igfn1-75988547","Rassf4-74988636"
"Coro1c-75651191","Dpysl5-73635770"
"Dpysl5-73635770","N4bp2-74363354"
"Cep72-74988742","Col9a2-74750022"
"Kdr-2347","LOC436099-73512350"
"Six1-1834","Znrf1-74581382"
"Limk1-640","Tmem215-73636150"
"Cuedc2-79556640","Nog-75084476"
"Gnal-71670716","Zbtb20-79568020"
"Eps8l2-74658244","Synpr-1862"
"Filip1l-74363347","Gm261-73636032"
"Coro1c-75651191","Lims2-75145999"
"3830406C13Rik-77414919","Atp5h-77371785"
"Csf2rb2-73992937","Gpr139-79490116"
"Chat-252","Lhx2-79568024"
"Col9a2-74750022","E130012A19Rik-74363349"
"Clic5-77874610","Mylk-74819252"
"Prdx1-836","Zbtb20-79568020"
"Pcp2-77413702","Zic1-72103843"
"3110082D06Rik-74581400","Tnfrsf11a-199393"
"Gbx2-77868786","Kcnj6-609"
"Igfn1-75988547","LOC434300-75988611"
"Mm.86217-74641161","Myo10-74743255"
"Atp5h-77371785","Ppp1r7-832"
"Grin2b-74988710","Rarres1-75084131"
"Dnajc12-73718054","Epha4-2187"
"Bpgm-77414641","Chat-252"
"3830406C13Rik-77414919","Clic5-77874610"
"Arx-118","Gbx2-77868786"
"Igfn1-75988547","Lrmp-74274684"
"Pth1r-112202195","Usp11-355883"
"Mmaa-1772","Pip4k2c-799"
"Gnal-71670716","Prdx1-836"
"Camk4-75038464","Phox2b-2480"
"Aff4-2363","Pam16-2391"
"Rprm-75651169","Synpr-1862"
"9430020K01Rik-75988537","Rprm-75651169"
"Fhdc1-73925717","Lrmp-74274684"
"Csf2rb2-73992937","Hcrtr1-77868713"
"Egr4-74800827","Rarres1-75084131"
"Mx2-1778","Sbf1-276264"
"Klhl1-73520995","Slc35f1-75084145"
"Arx-118","Zfp932-75774665"
"Rapgef4-74749895","Zfp932-75774665"
"Fezf2-75651163","Zim2-76135811"
"Ero1lb-72340145","Slc10a3-74047876"
"P2rx3-75888751","Zfp280c-1669"
"Rarres1-75084131","Satb1-927"
"Hebp1-74988456","Mrc1-74581428"
"Ar-2039","Plxna3-1403"
"Tmc6-77887880","Znrf1-74581382"
"Mylk3-73992942","Zic1-72103843"
"Dnajc12-73718054","Gm261-73636032"
"Mx1-1385","Syt7-1035"
"Hkdc1-70634299","Susd2-75146000"
"Rapgef4-74749895","Tnfrsf11a-199393"
"Filip1l-74363347","Zic1-72103843"
"Dhrs3-112650553","Pth1r-112202195"
"Gdf1-75081205","Mgat2-74988614"
"Enpep-73769289","Limk1-640"
"Myo10-74743255","Slco1a5-67850945"
"Oxt-112648396","Rara-1528"
"Ntf5-1393","Psmc2-356850"
"Gnal-71670716","Mmaa-1772"
"Ccdc37-74581372","Hmx3-74641309"
"Csf2rb2-73992937","Grb7-112204995"
"Klhl1-73520995","Tmem215-73636150"
"Bdnf-79587720","Dnajc12-73718054"
"Col9a2-74750022","Pcdh8-74750019"
"Cdkn1a-80343383","Plxna3-1403"
"Itga3-598","Mylk-74819252"
"Gdf1-75081205","Zbtb20-79568020"
"Grik3-75749418","LOC434300-75988611"
"Chat-252","Rarres1-75084131"
"Hook3-1197","Rps5-77868800"
"Rara-1528","Tnfrsf11a-199393"
"Nrip1-739","Tmc6-77887880"
"Bcl11a-71836837","Sox2-77280331"
"Grin2b-74988710","Myo10-74743255"
"AI593442-71250312","Pus7-79556638"
"Fhdc1-73925717","Igfn1-75988547"
"Dlx2-1482","Mlx-77414147"
"Hook3-1197","Myc-112194721"
"Copa-1689","Traip-77887842"
"Il17rd-112647967","Six1-1834"
"Nkd1-74586666","Phox2b-2480"
"Pcnt-1255","Zic1-72103843"
"Agrn-73925722","C2cd2-1986"
"Copa-1689","Filip1l-74363347"
"Ccdc85a-75081006","Rassf4-74988636"
"Bcl6-75651139","Hcrtr1-77868713"
"Mylk3-73992942","Zbtb20-79568020"
"Cdk5-244","Klhl1-73520995"
"Lims2-75145999","Zim2-76135811"
"Iyd-71015205","Slc4a10-1922"
"Gm261-73636032","Hpca-72129291"
"Cer1-2091","Tnrc6a-314"
"Chat-252","Lims2-75145999"
"Mm.86217-74641161","Ybx2-75080250"
"Apln-67850953","Hebp1-74988456"
"Nrbp2-75774686","Postn-77371799"
"Gnal-71670716","Slc22a3-73931644"
"Cul4a-75749399","Oxt-112648396"
"Hmg20a-357093","Mlx-77414147"
"Gm261-73636032","Myc-112194721"
"Cd44-79556644","Gpr56-71015815"
"Dkk4-112647536","Tmc6-77887880"
"Grin2b-74988710","Lhx2-79568024"
"Gnal-71670716","Magel2-79591571"
"Cdk5-244","Ldb3-2369"
"Filip1l-74363347","Hpca-72129291"
"Nrbp2-75774686","Rps4y2-75934917"
"Atp5h-77371785","Mylk-74819252"
"Iyd-71015205","Slc22a3-73931644"
"Rps5-77868800","Slc35f1-75084145"
"4931408A02Rik-112645384","Vdr-112204135"
"Pcnt-1255","Prdx1-836"
"Gpr151-74724649","Tyr-79591699"
"Limk1-640","Plxna3-1403"
"Mylk3-73992942","Slc22a3-73931644"
"Fhdc1-73925717","Ybx2-75080250"
"Hook3-1197","Prdx1-836"
"Chst10-74657931","Csf2rb2-73992937"
"C2cd2-1986","Nrip1-739"
"Egr4-74800827","Susd2-75146000"
"Cdk5r1-247","Zfand3-77414923"
"Bpgm-77414641","Ccdc85a-75081006"
"Atp6v1b2-129","Car8-191"
"Filip1l-74363347","Gnal-71670716"
"Mmaa-1772","Wnt7b-1113"
"Cysltr1-75651227","Eif3j-321196"
"Cdk5-244","Nr5a1-734"
"Grin2b-74988710","Susd2-75146000"
"Chst10-74657931","Filip1-73635796"
"Junb-2335","Slc10a3-74047876"
"Magel2-79591571","Slc4a10-1922"
"Mylk3-73992942","Slc4a10-1922"
"Camk4-75038464","Slc16a4-2579"
"3110082D06Rik-74581400","LOC545352-74988758"
"Ccdc37-74581372","Wnt5a-79556660"
"Igfn1-75988547","Ybx2-75080250"
"Apln-67850953","Crym-73592526"
"Lypd6b-73635774","Ssr2-121097"
"Dlx6as1-2000","Junb-2335"
"Dnajc12-73718054","Mri1-75773703"
"Grb7-112204995","Pth1r-112202195"
"Myo10-74743255","Zim2-76135811"
"Enpep-73769289","Plxna3-1403"
"Copa-1689","Nmb-71836874"
"Clip2-2137","Ncdn-684"
"Satb1-927","Susd2-75146000"
"Cdk5-244","Gdi2-491"
"Apln-67850953","Fabp3-418"
"Fbxo2-2210","Tcf25-293034"
"Cdc25b-74274686","Phox2b-2480"
"Lxn-72340108","Tcf25-293034"
"Coro1c-75651191","Lhx2-79568024"
"Clic5-77874610","Itga3-598"
"Bcl6-75651139","Rps4y2-75934917"
"3830406C13Rik-77414919","Tnip2-74425540"
"Hpca-72129291","Mylk3-73992942"
"Nrip1-739","Setbp1-1532"
"Crym-73592526","Tspo-79556668"
"Gnal-71670716","Rps5-77868800"
"Oprd1-112646675","Rps5-77868800"
"Ccnd2-205","Phox2b-2480"
"Cul4a-75749399","Rapgef4-74749895"
"Ccdc85a-75081006","Fhdc1-73925717"
"Cst3-69120555","Ostf1-73907505"
"Alox8-73718055","Ncaph2-355887"
"Filip1-73635796","Rps4y2-75934917"
"Ldb3-2369","Txnip-1084"
"Mri1-75773703","Traip-77887842"
"Gm261-73636032","Mgat2-74988614"
"Myo10-74743255","Tyr-79591699"
"Gpr151-74724649","Slco1a5-67850945"
"Dok1-75042248","Gpr139-79490116"
"Hmg20a-357093","Rprm-75651169"
"3830406C13Rik-77414919","Ppp1r7-832"
"LOC545352-74988758","Zfp932-75774665"
"Dkk4-112647536","Il17rd-112647967"
"Tnfrsf11a-199393","Zfp932-75774665"
"Coro1c-75651191","Myo10-74743255"
"Bdnf-79587720","Pdlim2-2476"
"Rassf4-74988636","Rgs2-73635771"
"Lhx2-79568024","Rgs2-73635771"
"Acan-77869840","Fbln7-73929875"
"Igfn1-75988547","Susd2-75146000"
"Fezf2-75651163","Fhdc1-73925717"
"Col9a2-74750022","Slc16a4-2579"
"Dhrs3-112650553","Satb1-79488931"
"Mmaa-1772","Mri1-75773703"
"Mylk-74819252","Pou2f1-1563"
"Bpgm-77414641","Grin2b-74988710"
"Myo10-74743255","Satb1-927"
"Ccdc85a-75081006","Coro1c-75651191"
"Fam46a-75042237","Prdx1-836"
"Pfkl-795","Slc6a15-73929609"
"Itga3-598","Pou2f1-1563"
"Kcnj6-609","Tnfrsf11a-199393"
"Csk-75651192","Wnt7b-1113"
"Kcnj6-609","Rara-1528"
"Gdf1-75081205","Pcp2-77413702"
"Krt73-74750042","Slc10a3-74047876"
"Gdf1-75081205","Mri1-75773703"
"Dpysl5-73635770","Ybx2-75080250"
"Gpr151-74724649","Rarres1-75084131"
"Impact-594","Pdyn-71717084"
"Bpgm-77414641","LOC434300-75988611"
"Nmb-71836874","Slc22a3-73931644"
"Slco1a5-67850945","Zim2-76135811"
"1700086L19Rik-1643","Abhd8-2012"
"Slc35f1-75084145","Tmem86b-72472763"
"Fam46a-75042237","Gnal-71670716"
"Pcp2-77413702","Pip4k2c-799"
"Zfp280c-1669","Zic1-72103843"
