gene1,gene2
"Pogk-71064277","Tmem64-77414589"
"Flrt3-73931404","Slc16a4-2579"
"Ldlr-1766","Sdccag3-2075"
"Col12a1-73817431","Rbm18-356083"
"Bmp7-2065","Gm5083-73930833"
"Olig2-2448","Pmaip1-823"
"Cx3cl1-2135","Rab3ip-71717136"
"Fnta-2226","Leprotl1-2373"
"Cx3cl1-2135","Top1-74957897"
"Adamts18-75651128","Mylk3-73992942"
"Rbm18-356083","Wnt3-2731"
"Rab3c-73521805","Yme1l1-356849"
"Eef1b2-75934526","Zfand3-77414923"
"Eef1b2-75934526","Pbx3-76085744"
"Rasal2-75147758","Rasgrp1-76115742"
"Hspa4l-75749390","Slc16a4-2579"
"Rfx1-895","Slc12a3-2573"
"Leprotl1-2373","Mapre2-659"
"Gckr-74274683","Ywhaz-1133"
"Galnt13-72472803","Tbp-67850950"
"D830030K20Rik-73930807","Slc25a5-2591"
"Agap3-2089","Pxn-1814"
"Gng4-515","Tubb4a-1081"
"Eps8l2-74658244","Sacm1l-74882832"
"Klhl4-76115731","LOC433093-71924514"
"Rab3ip-71717136","Usp48-149"
"Cds2-250","Slc36a2-1069"
"Nacc2-74641266","Ywhaz-1133"
"Ntf5-1393","Pdzrn3-71836787"
"Hpse-77340468","Usp16-1886"
"Leprotl1-2373","Syt3-1026"
"E2f6-2173","Syt6-1032"
"Eps8l1-1707","Stac-73788116"
"F5-73992763","Synpo-74640881"
"Bai3-71247597","Matn4-77371795"
"Arhgap25-72128789","Gckr-74274683"
"Gmps-1361","Slc12a3-2573"
"Cspg5-73931385","Hspa4l-75749390"
"Chrm3-2095","Wnt7a-1936"
"Palm3-74958547","Tomm20-74819230"
"Adamts16-276267","Sbf1-276264"
"App-79591705","Itfg1-112194079"
"Pogk-71064277","Rasgrp1-76115742"
"Gprasp1-70743888","Tmem130-73930834"
"Gata2-100","Slc12a3-2573"
"Prl2c2-75077152","Wnt3-2731"
"Kctd16-73636009","Pogk-71064277"
"E2f6-2173","Ptprv-73817436"
"Map2k6-73817433","Prdx3-70743842"
"Ms4a6b-293474","Ywhae-2739"
"Epn3-74357584","Hpse-77340468"
"Agap3-2089","Arhgap25-72128789"
"Flrt3-73931404","Prl2c2-75077152"
"Fzd1-2239","Pnrc1-2501"
"B230120H23Rik-2049","Cdh4-2083"
"D830030K20Rik-73930807","Otp-2454"
"Arpc1a-77280335","Cer1-2091"
"Sacm1l-74882832","Slc22a23-72128754"
"Clip2-2137","Kit-73520994"
"Cdkn1a-2085","Samsn1-925"
"Impg1-2321","Mapre1-2401"
"Col25a1-71924301","Npr1-71670678"
"Col18a1-287","Pax9-2466"
"Per1-791","Zim2-76135811"
